formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,seebeck_coefficient,Thermal_conductivity,electrical_conductivity(S/m)
Ag0.01Sn0.99Se0.9S0.1,418,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,347.0,0.26,1108.0
Ag0.01Sn0.99Se0.9S0.1,518,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,385.0,0.2,698.0
Ag0.01Sn0.99Se0.9S0.1,567,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,416.0,0.19,569.0
Ag0.01Sn0.99Se0.9S0.1,616,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,432.0,0.21,596.0
Ag0.01Sn0.99Se0.9S0.1,666,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,410.0,0.24,837.0
Ag0.01Sn0.99Se0.9S0.1,763,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,362.0,0.22,1708.0
Ag0.01Sn0.99Se0.9S0.1,813,82.17,192.872182,168.75,1.99,2.467,2.5572,4.5127,10.07,1656.12,992.18,3476.69,11.8599,0.58608,13.26806,330.2578,70.7189,161.44,311.0,0.18,2689.0
Cu2Se,303,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,73.0,1.2,143966.0
Cu2Se,333,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,85.0,1.06,122500.0
Cu2Se,353,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,96.0,0.91,100000.0
Cu2Se,372,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,100.0,0.71,79524.0
Cu2Se,450,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,98.0,1.22,84343.0
Cu2Se,550,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,126.0,1.13,64231.0
Cu2Se,650,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,152.0,1.06,49118.0
Cu2Se,750,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,178.0,1.0,38500.0
Cu2Se,850,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,202.0,0.94,30812.0
Cu2Se,1000,92.0,206.052,217.0,5.0,3.93,3.92,6.35,28.0,2431.0,3202.45,6638.45,22.71,1.08,32.794,638.3,802.52,464.0,237.0,0.87,21802.0
Cu2Se0.88S0.12,303,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,107.0,0.61,69583.0
Cu2Se0.88S0.12,333,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,117.0,0.56,62300.0
Cu2Se0.88S0.12,353,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,127.0,0.47,50900.0
Cu2Se0.88S0.12,372,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,142.0,0.29,36100.0
Cu2Se0.88S0.12,450,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,151.0,0.69,31629.0
Cu2Se0.88S0.12,550,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,186.0,0.68,25303.0
Cu2Se0.88S0.12,650,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,217.0,0.64,19622.0
Cu2Se0.88S0.12,750,89.84,200.42472,216.88,5.0,3.912,3.9032,6.3536,28.0,2438.08,3189.946,6609.614,22.3836,1.1268,32.19682,634.952,802.48988,470.72,243.0,0.62,15931.0
Cu2Se0.92S0.08,303,90.56,202.30048,216.92,5.0,3.918,3.9088,6.3524,28.0,2435.72,3194.114,6619.226,22.4924,1.1112,32.39588,636.068,802.49992,468.48,98.0,0.73,103086.0
Cu2Se0.92S0.08,333,90.56,202.30048,216.92,5.0,3.918,3.9088,6.3524,28.0,2435.72,3194.114,6619.226,22.4924,1.1112,32.39588,636.068,802.49992,468.48,107.0,0.68,93820.0
Cu2Se0.92S0.08,353,90.56,202.30048,216.92,5.0,3.918,3.9088,6.3524,28.0,2435.72,3194.114,6619.226,22.4924,1.1112,32.39588,636.068,802.49992,468.48,116.0,0.59,77315.0
Cu2Se0.92S0.08,372,90.56,202.30048,216.92,5.0,3.918,3.9088,6.3524,28.0,2435.72,3194.114,6619.226,22.4924,1.1112,32.39588,636.068,802.49992,468.48,126.0,0.4,59220.0
