formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,Thermal_conductivity
Ge0.93In0.01Bi0.06Te,723,87.23,208.8143022,169.38,2.0,2.4939,2.5866,4.1083,10.05,1625.42,1894.708,4282.4,11.8457,0.5071,52.55483,368.89,59.3452,363.36,
Ge0.94Bi0.06Te,300,87.06,208.3922222,169.42,2.0,2.4908,2.5844,4.1106,10.06,1627.46,1902.616,4289.9,11.8258,0.508,52.8916,369.884,59.1282,364.22,
Ge0.94Bi0.06Te,725,87.06,208.3922222,169.42,2.0,2.4908,2.5844,4.1106,10.06,1627.46,1902.616,4289.9,11.8258,0.508,52.8916,369.884,59.1282,364.22,
Ge0.9Cd0.05Bi0.05Te,300,87.35,209.0185685,168.9,1.95,2.507,2.595,4.0945,10.45,1633.35,1878.055,4199.35,11.948,0.5055,51.6106,360.5785,61.4935,364.8,
Ge0.9Cd0.05Bi0.05Te,650,87.35,209.0185685,168.9,1.95,2.507,2.595,4.0945,10.45,1633.35,1878.055,4199.35,11.948,0.5055,51.6106,360.5785,61.4935,364.8,
Ge0.9Sb0.1Te,300,85.9,205.125,169.6,2.0,2.488,2.586,4.114,10.1,1638.2,1911.56,4278.1,11.697,0.509,52.723,358.074,58.69,371.1,
Ge0.9Sb0.1Te,725,85.9,205.125,169.6,2.0,2.488,2.586,4.114,10.1,1638.2,1911.56,4278.1,11.697,0.509,52.723,358.074,58.69,371.1,
Ge0.9Sb0.1Te0.9Se0.05S0.05,300,83.2,197.9163,169.45,2.0,2.4605,2.56,4.1605,10.1,1648.35,1883.1,4235.605,11.416,0.5405,51.394575,355.194,58.49445,360.1,
Ge0.9Sb0.1Te0.9Se0.05S0.05,630,83.2,197.9163,169.45,2.0,2.4605,2.56,4.1605,10.1,1648.35,1883.1,4235.605,11.416,0.5405,51.394575,355.194,58.49445,360.1,
K0.02Pb0.98Te0.75Se0.25,300,128.24,319.277966,169.19,1.98,2.7378,2.7823,4.0615,9.94,1597.06,1259.89,3180.3,17.0667,0.3724,19.5407,224.5809,38.5345,342.58,
K0.02Pb0.98Te0.75Se0.25,773,128.24,319.277966,169.19,1.98,2.7378,2.7823,4.0615,9.94,1597.06,1259.89,3180.3,17.0667,0.3724,19.5407,224.5809,38.5345,342.58,
K0.06Bi2Te3.18,300,332.5,826.074638,458.38,5.18,6.9172,7.3306,10.7672,29.14,4194.56,3406.511,7744.47,39.3948,0.921,78.35824,381.5012,29.357,521.1,
K0.06Bi2Te3.18,350,332.5,826.074638,458.38,5.18,6.9172,7.3306,10.7672,29.14,4194.56,3406.511,7744.47,39.3948,0.921,78.35824,381.5012,29.357,521.1,
Mn0.98Na0.02Te,300,76.72,181.8990844,141.0,2.96,2.8458,2.743,3.6376,12.88,1581.58,2216.876,3476.52,13.54082,0.695,29.35096,275.9692,12.8336,369.24,
Mn0.98Na0.02Te,900,76.72,181.8990844,141.0,2.96,2.8458,2.743,3.6376,12.88,1581.58,2216.876,3476.52,13.54082,0.695,29.35096,275.9692,12.8336,369.24,
MnTe,300,77.0,182.53805,142.0,3.0,2.84,2.74,3.65,13.0,1586.0,2239.8,3498.1,13.67,0.68,29.54,278.55,10.17,369.0,
MnTe,900,77.0,182.53805,142.0,3.0,2.84,2.74,3.65,13.0,1586.0,2239.8,3498.1,13.67,0.68,29.54,278.55,10.17,369.0,
Na0.03Eu0.03Sn0.02Pb0.92Te,300,130.66,325.846843,166.93,2.03,2.8021,2.8323,3.9235,9.88,1573.19,1329.334,3254.66,17.06053,0.36644,22.3999,229.1638,40.805,375.56,
Na0.03Eu0.03Sn0.02Pb0.92Te,850,130.66,325.846843,166.93,2.03,2.8021,2.8323,3.9235,9.88,1573.19,1329.334,3254.66,17.06053,0.36644,22.3999,229.1638,40.805,375.56,
Na0.95Pb20SbTe22,300,2845.45,7094.80028,3686.9,43.0,60.995,61.943,86.5335,217.95,34743.2,29167.8525,71369.3925,372.89245,8.3785,503.0981,4879.352,915.95,8227.55,
Na0.95Pb20SbTe22,650,2845.45,7094.80028,3686.9,43.0,60.995,61.943,86.5335,217.95,34743.2,29167.8525,71369.3925,372.89245,8.3785,503.0981,4879.352,915.95,8227.55,
Pb0.953Na0.04Ge0.007Te,300,130.81,326.4894607,167.826,1.96,2.78237,2.82105,3.93338,9.88,1576.522,1318.4513,3249.45,17.18028,0.37533,22.425947,228.0928,42.0502,377.16,
